gisaid_epi_isl,Region,Lab,Date
EPI_ISL_412118_2019-09-25,Western Asia,Abudhabi,2019.731507
EPI_ISL_401607_2019-09-27,Western Asia,Salalah,2019.736986
EPI_ISL_409406_2019-09-02,Western Asia,Abudhabi,2019.668493
EPI_ISL_401527_2019-09-30,Western Asia,Al Buraymi,2019.745205
EPI_ISL_400013_2019-09-23,Western Asia,Abudhabi,2019.726027
EPI_ISL_406210_2019-10-20,Western Asia,Qatar,2019.8
EPI_ISL_406208_2019-10-18,Western Asia,Qatar,2019.794521
EPI_ISL_401567_2019-10-20,Western Asia,Ibra,2019.8
EPI_ISL_406195_2019-10-18,Western Asia,Qatar,2019.794521
EPI_ISL_401565_2019-10-03,Western Asia,Ibra,2019.753425
EPI_ISL_404572_2019-11-24,Western Asia,Abu Dhabi,2019.89589
EPI_ISL_404571_2019-11-24,Western Asia,Abu Dhabi,2019.89589
EPI_ISL_404569_2019-11-24,Western Asia,Abu Dhabi,2019.89589
EPI_ISL_404583_2019-11-26,Western Asia,Abu Dhabi,2019.90137
EPI_ISL_404591_2019-11-25,Western Asia,Abu Dhabi,2019.89863
EPI_ISL_412149_2019-12-12,Western Asia,Bahrain,2019.945205
EPI_ISL_412153_2019-12-11,Western Asia,Bahrain,2019.942466
EPI_ISL_406289_2019-12-25,Western Asia,Georgia,2019.980822
EPI_ISL_407470_2019-12-25,Western Asia,Georgia,2019.980822
EPI_ISL_412137_2019-12-03,Western Asia,Bahrain,2019.920548
EPI_ISL_389140_2019-01-09,South Asia,Srinagar,2019.021918
EPI_ISL_389146_2019-01-20,South Asia,Srinagar,2019.052055
EPI_ISL_350069_2019-01-14,South Asia,Pakistan,2019.035616
EPI_ISL_389144_2019-01-18,South Asia,Srinagar,2019.046575
EPI_ISL_365754_2019-01-30,South Asia,Bhutan,2019.079452
